Index,Bead,Rel Position x,Rel Position y,Rel Position z,charge,body
1,cholesterol,0,0,0,0,0
2,P1,0.02610332743547801,-0.018102406514463418,-0.5312177496291242,0,0
3,SC4,-0.22690158191366286,-0.015554447002216353,-0.1832515240112329,0,0
4,SC3,0.11430364365608497,-0.08128266210923989,-0.20192170833659975,0,0
5,SC3,-0.20322606588120032,-0.016232547745626706,0.24130113400692793,0,0
6,SC3,0.13670034516932827,-0.02708034739794988,0.10055720460061517,0,0
7,TC2,0.08236502456451913,0.16761671528946542,-0.20705956636165662,0,0
8,TC2,0.00900035982910266,0.1595345524107712,0.25212949483234476,0,0
9,C2,0.06255672459479847,-0.04036072414438032,0.5411689556989975,0,0
10,C2,0.06255672459479847,-0.04036072414438032,0.9411689556989975,0,-1
