Index,Bead,Rel Position x,Rel Position y,Rel Position z
1,TP1,0,0,0
2,SN3r,0.10307337294603593,0.36955181300451473,0.1
3,SN3r,2.220446049250313e-16,-4.632630023765268e-17,0.2
4,C4,2.220446049250313e-16,-4.632630023765268e-17,0.6799999999999999
5,C4,0.2828427124746193,-0.23284271247461907,0.7799999999999999
6,C4,0.1797693395285836,-0.6023945254791339,0.8799999999999999
7,C4,-0.22023066047141643,-0.652394525479134,0.9799999999999999
8,SN3r,-0.22023066047141643,-0.652394525479134,1.46
9,SN3r,0.06261205200320263,-0.885237237953753,1.56
10,SN3r,-0.04046132094283307,-1.2547890509582678,1.6600000000000001
11,C4,-0.04046132094283307,-1.2547890509582678,2.14
12,C4,0.242381391531786,-1.4876317634328868,2.24
13,C4,0.13930801858575032,-1.8571835764374016,2.3400000000000003
14,C4,-0.2606919814142497,-1.9071835764374017,2.4400000000000004
15,SN3r,-0.2606919814142497,-1.9071835764374017,2.9200000000000004
16,SN3r,0.02215073106036935,-2.1400262889120207,3.0200000000000005
17,SN3r,-0.08092264188566635,-2.5095781019165355,3.1200000000000006
18,SN3r,-0.48092264188566636,-2.5595781019165353,3.2200000000000006
19,SN3r,-0.6839960148317022,-2.1900262889120206,3.3200000000000007
20,SN3r,-0.4011533023570836,-1.8571835764374012,3.420000000000001
21,TP1,0.018398510647431435,-2.0102569493834364,3.620000000000001
